𐩮	21	𐩮𐩵𐩤  𐩮𐩨𐩢  𐩮𐩡𐩥  𐩮𐩢𐩰  𐩦𐩡𐩮𐩩  𐩮𐩡𐩣  𐩮𐩺𐩵  𐩨𐩮𐩡  𐩮𐩬𐩲  𐩮𐩡𐩱  𐩮𐩧𐩨  𐩧𐩮𐩵  𐩮𐩧𐩢  𐩮𐩢𐩩  𐩮𐩨𐩲  𐩮𐩡𐩢  𐩮  𐩮𐩢𐩨
𐩻	17	𐩱𐩻𐩡  𐩻𐩣𐩧  𐩪𐩵𐩻  𐩱𐩬𐩻  𐩻𐩬𐩺  𐩢𐩧𐩻  𐩻  𐩻𐩥𐩧  𐩥𐩻𐩤  𐩥𐩻𐩬  𐩻𐩣𐩬𐩩  𐩻𐩡𐩮𐩩  𐩧𐩻𐩺  𐩥𐩻𐩨  𐩪𐩺𐩻  𐩵𐩻𐩱  𐩢𐩺𐩻
𐩴	20	𐩴𐩧𐩢  𐩢𐩴𐩴  𐩴𐩺𐩧  𐩴  𐩪𐩴𐩵  𐩣𐩪𐩴𐩵  𐩴𐩧𐩨𐩩  𐩴𐩣𐩲  𐩥𐩴𐩡  𐩴𐩧𐩬  𐩴𐩬𐩵𐩡  𐩴𐩬𐩱  𐩴𐩥𐩵  𐩴𐩥𐩲  𐩧𐩴𐩡
𐩠	19	𐩠𐩧𐩴  𐩦𐩠  𐩠𐩥𐩬  𐩥𐩠𐩨  𐩠𐩧𐩨  𐩠𐩬𐩱  𐩨𐩧𐩠𐩬  𐩣𐩥𐩠𐩩  𐩵𐩠𐩧  𐩦𐩠𐩧  𐩠𐩴𐩧  𐩪𐩰𐩠  𐩦𐩺𐩠  𐩧𐩠𐩬  𐩠  𐩺𐩠𐩧
𐩹	14	𐩹𐩬𐩣  𐩹𐩠𐩨  𐩹𐩧𐩱  𐩰𐩭𐩹  𐩹𐩲𐩨  𐩹𐩫𐩺  𐩹  𐩹𐩫𐩧  𐩹𐩡𐩡  𐩹𐩧𐩨  𐩹𐩰𐩧  𐩴𐩹𐩥  𐩴𐩹𐩹
𐩷	13	𐩷𐩨𐩭  𐩷𐩧𐩵  𐩪𐩷𐩧  𐩭𐩧𐩷  𐩭𐩷𐩱  𐩨𐩡𐩷  𐩷𐩨𐩨  𐩥𐩪𐩷  𐩷  𐩷𐩠𐩧  𐩷𐩡𐩺  𐩷𐩥𐩲
𐩸	11	𐩸𐩡𐩡  𐩢𐩸𐩨  𐩸𐩲𐩣  𐩸𐩣𐩣  𐩸𐩱𐩵  𐩸  𐩸𐩫𐩥  𐩧𐩸𐩱  𐩲𐩬𐩸  𐩦𐩸𐩨  𐩸𐩠𐩵
𐩳	7	𐩢𐩳𐩺  𐩲𐩧𐩳  𐩳𐩱𐩬  𐩳  𐩱𐩧𐩳  𐩳𐩧𐩧  𐩳𐩨𐩲
𐩶	7	𐩶𐩡𐩨  𐩶𐩨𐩷  𐩶  𐩮𐩶𐩧  𐩶𐩺𐩡  𐩮𐩵𐩶  𐩶𐩪𐩡
𐩼	4	𐩼𐩣𐩱  𐩼𐩡𐩣  𐩼  𐩬𐩼𐩧
