a
ã
aa
ãa
ã-á
aabu
aba
abagadi
abaša
abba
abbaĩ
abi
abidti
abidtido
abigo
abilele
abu
Abu
Abuĩ
abulakti
abulaktudo
abulas
abulasti
abur
abura
abuši
abušiĩ
abus-ndodurdo
abus-ndoduri
abusti
abustudo
abusu
abusuli
ačadi
ači
ačido
ačudo
ada
adaba
adabu
adado
adaga
Adaga
adagaa
adagado
adago
adagui
adakti
adam
adama
adda
addalti
adi
adiba
adibaa
adibaa-ã
adibaĩ
adibi
adibidi
adibido
adibii
adida
adide
adidi
adigibi
adiĩ
adil
adiŋuri
adiza
adizi
adizii
adugu
aduŋguri
aduŋur
adur
adurasti
adurasu
adurgi
Afrika
Afrikan
aga
agabda
agabko
agabti
agadi
agahar
agahur
agahurĩ
agahurti
aganu
agar
agasa
agasu
agasu-ã
agasudo
agasuu
agayar
agayarĩ
agide
agiĩ
agu
agude
agugusu
agula
agunu
agur
agura
aguramndi
aguratiri
aguraũ
agurbi
agurdo
aguruu
ahamndi
ahuhudi
ai
aigo
aiya
aizan
akû
ala
alaã
alak
alalak-ndoduri
alalak-ndoduria
alalakti
alalak-todudurkudo
alam
alamndi
alamndudo
alaši
algalam
algaša
aliĩ
alimii
alkamiĩ
alkaũ
ALLA
allaã
allahar
allamagiyebe
alli
alumana
Alumana
am
amalîe
amana
amandi
amandudo
amanno
amba
ambadi
ambado
ambakadi
ambirri
ami
Amîrika
Amîrikan
amma
ammaa-ã
amndi
amnjinno
amrîkan
amsunu
amzulaf
anab
añaba
añabti
anigi
anigido
aniši
anišii
anja
anjaba
anjabibi
anjabibidi
anjabti
anjalaũ
anjaũ
anna
annaa
annasûbi
annidi
annur
annurdo
anur
aŋgal
aŋgala
aŋgalaa-ã
aŋgaldo
aŋgalti
aŋgaluu
aŋgillimeĩ
aŋgur
Araã
araha
araĩ
araku
Aram
araŋga
araŋgadi
arba
arbadan
arballa
arbasal
arbi
arbidi
arbidia
arbidido
arbidigo
arbidinîe
arbiti
arbitia
arčanna
arda
ardidi
ardidido
ardi-ndoduri
aridi
aridobuĩ
ariĩ
arkakti
arma
armaddu
armagur
armaĩ
armasu
arna
arra
arradi
arraha
arraî
arrakti
arraktudo
arru
arsa
artas
artasa
aru
arubsu
arubti
arubu
asab
asabti
asabtii
asaga
asar
aši
ašido
aska
aski
askido
askiĩ
assakti
asuba
asubdo
asubu
asunu
asuranu
asusura
asuu
atago
atam
aũ
aũ-namma
aũu
awi
awido
awulaĩ
awuši
awušiĩ
aya
ayahunu
ayanu
ayê
ayî
ayugo
azam
azumno
azuna
azunu
azuunno
b
ba
baa
bab
babar
babardo
babar-ndodurdo
babar-ndoduri
babarti
babiri
bab-ndoduri
bab-todurkudo
bad
bada
badã
badadi
badadia
badadido
badagaĩ
badaĩ
bado
baduã
baha
bahado
bahi
bahudo
bai
balak
baliĩ
balu
bamaũ
bamaũdo
bana
banan
bandi
bandî
banna
bannadi
bannadido
baŋa
baŋgi
bara
baradaa
baradi
baradido
baradudo
barago
baranda
barbi
bari
barii
barka
barkaadi
barndaga
barran
barraya
barru
barti
baru
baru-ã
basaĩ
basal
basarti
batata
bazi
bêde
bedido
beeri
bêlegi
belu
bena
beni
berekeido
bêrki
bêrkidi
bêrkido
besu
bî
bibida
bibidi
bibido
bidde
bidi
bîdi
bîdibidi
bîdibidido
bîdiri
bîe
bigi
bigize
bîk
bil
bilaa
bilili
billi
billir
bini
binni
bîrkiye
biršišuũ
bišinu
bîtemin
bîyego
bizi
bizido
bôboltu
bôbori
bobur
bôbur
bôdi
bodo
bôdudi
bodur
bodurdou
bogo
bogoĩ
bogošiĩ
bokti
boktido
boktu
boktudo
bôli
bollo
bolo
bôlo
bôlobolodi
bolodi
bolokti
bôlum
bom
bômbula
bône
bôni
bônu
boŋgo
bor
Bordo
bori
bôridi
borido
bôrido
borko
borkono
bornaa
Borno
bornoborno
boro
bôroroũ
borru
borruu
borsu
bôrto
bôrtošila
borturi
boru
bôrus
bôskut
bôtu
bôusala
boyo
bozi
bozudo
bozuũ
bu
buda
budabudadi
budago
budi
bûdi
bûdii
budo
bûdo
bûdoũ
bûdugi
bûduĩ
bûdulo
bugi
bûgi
bûgodi
bugubti
bûgudee
bûgudi
bûho
bui
bui-ĩ
bulaši
bûlluũ
bûltia
bulu
bûmba
bûni
bunjos
bûnnu
buno
buŋa
buradiri
burbadi
burbo
burdag
bûrdi
bûrdiĩdi
burdinjal
bûrdituma
burdog
bûrdu
bûrdui
bûrduidi
burdunjal
buri
bûri
bûrinji
bûrko
burku
burkudi
burndaga
bûrni
buro
bûrodi
buroĩ
burru
bûrru
bursa
bursadi
bursado
bursa-kudaannu
bûrti
burwadi
burwo
burwodo
busabdo
busahu
busamma
busau
buskat
bûsogã
bûsoŋã
butata
buududo
buumsu
bûyi
buyuna
buyunu
buzuũ
č
čaa
čaadi
čaado
čaai
čaami
čabaka
čabi
čabko
čabti
čabu
Čabu
čača
čačabti
Čad
čadian
Čadian
čado
čagam
čagi
čagidi
čakini
čakinno
čakogo
čakti
čaktii
čaktudo
čakunno
čala
čalaĩ
čalti
čamŋgo
čanara
čapko
čata
čatudo
čawuni
čaya
čayadi
čebi
čebu
čedi
čêgihe
čêgihi
čeke
čekedi
čekema
čele
čêlli
čêlliĩ
čêndidi
čêne
čeni
čêniĩ
čêni-ĩ
čênikerdo
čer
četu
četú
četudo
čêzi
čêziĩ
či
čî
čia
čibidi
čîbidi
čîbina
čîbinni
čîbizi
čîbte
čîčîbu
čîčide
čîčil
čîčilko
čîčir
čidaa
čîddo
čidi
čîdi
čiga
čige
čigo
čihinedi
čîidi
čîitodo
čîktudo
čilab
čilamndi
čilamno
čilaũ
čiledi
čilemi
čilemu
čîličilimŋgo
čîlimndi
čillai
čilti
čilu
činadi
činai
čini
činnakti
čiŋgahu
čîrka
čirri
čîrtia
čizenni
čobtudo
čobtunú
čoburti
čočomori
čočur
čočurdo
čôgonni
čoguno
čohuno
čôhuri
čôhuriĩ
čokti
čôlli
čôllu
čolo
čolti
čomndi
čomoko
čomur
čondi
čôndi
čôndidi
čoŋ
čoŋgul
čôŋgurro
čoŋi
čoŋoĩ
čoŋudo
čoŋuno
čoobi
čoori
čoptu
čorri
čoto
čotodo
čôwuri
čoyo
čozi
ču
čû
čû-ã
čuačuadi
čuadi
čual
čualdo
čualti
čubabi
čubabo
čubi
čubudo
čubudu
čubunnú
čubura
čuburadi
čûčua
čûčukti
čučur
čudi
čudo
čûdo
čudobti
čudobu
čudoga
čudok
čuduri
čugo
čugurruũ
čugurtai
čui
čûi
čukti
čûkti
čûku
čukunno
čulami
čulamndi
čulaũ
čûllo
čûllodi
čûllodo
čulobi
čulodi
čûlolodi
čûlui
čûluko
čûlukti
čumadi
čumbu
čumohi
čumur
čunadi
čunai
čundi
čunnakti
čunnu
čunnui
čunobu
čunoktaa
čunubti
čunubu
čunudi
čunuk
čûŋguli
čuŋgura
čuo
čurnusčii
čuro
