#
# brao wordlist is created based on:
# https://docs.google.com/spreadsheets/d/1DTnc1jc-DTm93zkIReCkEJ2bd1RHJfxEkY2qsNKThJE/edit#gid=1640411150
#
# This is an example tab-separated wordlist file that can be edited in a spreadsheet
# program or regenerated from a wordlist tool. See lexical model documentation at 
# https://help.keyman.com/developer/ for tools.
#
#
ក
កះ
កក
កកច
កកជ្រូ
កកឌុ
កកអង់កក
កកាត
កកូវ
កកូវកកោះ
កកៃ
កកោះ
កក្រាំង
កក្រូវ
កគ់
កង់
កង់គែវ
កងតហាន
កង់រាំ
កង់ស៊្រឹង
កង់អង់កង
កច
កចង
កចន
កចាត់
កចិលជួល
កចើន
កចៀត
កំច្រួច
កឆាវ
កជុរ
កជែ
កជែត
កឈិប
កឈុះ
កញិច
កញឺម៉ាត
កញឺអ៊ុញ
កញែក្រូយ
កញែម
កដះ
កដក
កដង់
កដង់ឌូរអ៊ិច
កដម
កដាក
កដាង
កដាងបាក់អាវ
កដាងប្រេ
កដាប
កដាបហំបះ
កដាបហំបាះ
កដាម
កដាមអរិង
កដាល់
កដាវ
កដាវមាំង
កដិះ
កដិះតវែ
កដិវ
កដឹ
កដឹឈឹងច
កដូប
កដូរម៉ាត់
កដើវច
កដើវឆើវ
កដៀត
កដៀតអំព្រៀត
កដៀផារាំងចាះ
កដៀម
កដៀមបក
កដៀមផារាំង
កដៀមឡាវ
កដៀល
កដោះ
កឋាយ
កឋិះ
កឋឹះ
កឋោះ
កឌី
កឌីឌូ
កឌឹក
កឌឹប
កឌឺង
កឌឺត
កឌុង
កឌុងកយ៉ក់
កឌែ
កឌែដូច
កឌែវ
កឍី
កឍី​លូង
កឍឹះ
កឍឹះជ្រឹះជ្រឺង
កណ
កណំ
កណះ
កណក់
កណង
កណងត្រូន
កណរ
កណាំ
កណាង
កណាំង
កណាំងកាញ
កណាប
កណី
កណុត
កណើត
កណើវ
កណើវទូះ
កណោះ
កត៌
កត៏
ក៌ត
កត់កត
កតង់
កតង់ឡូយ
កតះតង
កតវ
ក៌ត​សូវ
កតា
កតាំង
កតាន់
កតាម
កតាយ
កតាយប៊្រី
កតិប
កតុតាគ់
កតូ
កតូក
កតៀប
កតៀរ
កតៃ
កត្រក់
កត្រក់ត្រវ៉ិល
កត្រិ
កត្រិះ
កត្រឹះ
កថាំង
កថើន
កថើប
កទិង
កទីក
កទីកគ្លែងប្រិច
កទីង
កទឹ
កទឹក្លើម
កទឹម
កទុក
កទូប
កទូរ
កទែ
កទែគ
កទ្រី
កទ្រីចាគ់ស៊ីត
កទ្រីដន់ដុ
កទ្រុន
កធិប
កធុង
កធុងហ្រកាក់
កធុន
កន
កន់ចក
កន់ចុង
កន់ចុងដុងកន់ឋារ់
កន់ច្រុ
កន់ឆក់
កន់ឆាំងមឡាយ
កន់ឆាំងហ៊ែត
កន់ឆូរប៊្រី
កន់ជីង
កន់ជែរ
កន់ឈីវ
កន់ដាគ់
កន់ដាគ់ប៊្រី
កន់ដាវអ៊ូង
កន់ដុង
កន់ដ្រាះ
កន់ដ្រាគ់
កន់ដ្រាំង
កន់ដ្រាប់
កន់ដ្រឹប
កន់ដ្រូម
កន់ដ្រូវ
កន់ដ្រូវហឡា
កន់ឋារ់
កន់ឋៀវ
កន់ឌឹង
កន់ឌឹល
កន់ឌូករូក
កន់ឌូលញូល
កន់ឌែងវែះ
កន់ឌែងហូង
កន់ឌ្រែង
កន់ឍឹរ
កន់ឍូល
កន់តក់ឡក់
កន់តារ
កន់តារខៀន
កន់តាវរ៉ាវ
កន់តិ
កន់តិះ
កន់តឹងរ៉ឹង
កន់តឹងរឹងរួច
កន់តើម
កន់តើមពដិះ
កន់តើរ
កន់តៀរ
កន់ត្រៃ
កន់ទីរី
កន់ធុន
កន់ស៊ីត
កន់ស៊ីលីលូ
កន់ស៊ឹត
កន់ស៊ែប៊ឹន
កន់សែផៃ
កន់ស៊ែយូ
កន់ស៊ែរែវ
កន់សៃ
កនឹប
កនឺន
កនឺម
កនឺរ
កនុង
កនុងទឹងមាំង
កនុងមឿង
កនុងលឿង
កនុត
កនូកទី
កនូយ
កនួត
កនៀកណៃ
កនៀង
កនៀប
កនៀវ
កនែ
កនែកង
កនែកន់ដ្រៀល
កនែក្រូយ
កនែជុក
កនែត្រាង
កនែប៊ូម
កនែប្លាង
កនែម៉ាត
កនែម៉ុញ
កនែសិៗ
កប៉
កំបគ់
កប៉ង់
កំប៉ាន់
កំប៊ិះ
កបិះរ៉ែប
កប៊ីង
កបឹត
កប៉ឹត
កប៉ឹតឈឹង
កំប៊ឺរឺ
កប៊ុង
កំបុង
កំប៊ុយ
