
aã
aadani
abaddo
abadi
abari
abarimi
abariŋa
abba	15
abba-bu
abba-duzuu
acadi
acanir
acantir
acantum
acanum
acayi
acayintu
aci
ada	20
adaa
adaga	10
adaki
adakintu
adakti
adal
adaŋir
adaŋum
adawadi
addaa
addi	25
addidi
addiĩ
addir
adelci
adelcintu
adellir
adellum
adelti
adeltir
adeltum
adi
adige
adii
adinir
adinum
adiyi
adiyintu
adu	5
afanne
afarai
afire
Afirik
Afunaa
afunuŋa
aga	5
agade
agadi
agafur
agahur
agala
agammum
agammur
agampum
agampur
agapci
agapcintu
agapti
agar
agar-kiri
agasu
agili
agir
agirda
agirde
agu	5
agude
aguruu
aguũ
aguza
aguzuu
aharai
ahu
aĩ
ai	40
aide	20
aĩzan
aja
ajab
ajammum
ajammur
ajampum
ajampur
ajapci
ajapcintu
ajapti
aji
ajirci
ajircintu
ajirdir
ajirti
alam
alama
alamti
albuta
algada
aligi	10
alii
alkam
alla
Alla	25
allaa
alzu
aman
amana
amanci
amancintu
amanne
amannir
amannum
amanti
amara
amba	5
ambare
amcaŋa
am-curulo
amii
am-kôriyo
am-kûrei
amma	30
ampadi
ampanir
ampanum
ampayi
ampayintu
amzulaf
anab
anam
anamci
anamcintu
anammum
anammur
anampum
anampur
anamti
anasa
anaši
anašintu
anassi
anassir
anassum
anazir
anazum
ancammum
ancammur
ancapci
ancapcintu
ancapti
ancasuma
ancau
añi	8
anidi
anigi	5
anigire
aninir
aninum
añire
aniši	3
aniyi
aniyintu
anjau
Anna
annaga
Annagada
annu
anuki
anukti
anukyintu
anuŋir
anuŋkir
anuŋkum
anuŋum
anuu	10
aŋgal	5
aŋgalle
aŋgir
aŋguli
aŋkal	5
aŋkalle
aŋkalti
aŋkir
aŋkuli
ar
ara	25
aradi
arahau
arai
araki
arakintu
arakti
Aram
aramal
aranir
arantir
arantum
aranum
araŋa	15
araŋadi
araŋir
araŋkir
araŋkum
araŋum
ararau
arayi
arayintu
ardadi
ardayi
ardayintu
ardigi
ari
arii	25
ariire
arini
arkab
arkam
arkami
arkin
arñelli
arradi
arrai
arranir
arrantir
arrantum
arranum
arrayi
arrayintu
arru
artas
artasa
aru
aruŋgu
aruŋku
arupti
aruu
asadi
asaga
asaiba
ašamti
asar	4
asarci
asarcintu
asardi
asardir
asarrum
asarti
asartir
asayiba
aši	6
ašibi
ašide
ašire
ašireta
aši-tiri
aski	4
askire
asube
asudi
asun
asunir
asuntir
asuntum
asunum
asuu
asuyi
ataki
atakintu
atakti
ataŋir
ataŋum
aũ	30
audani
aulai
auši
awa	15
awai
awa-tûu
aweya
awi
awide
awii
awile
awulai
awur
awure	6
awurii
awuši	4
awušintu	4
awusu
awuzir	4
aya	30
aya-addi
aya-bu
aza
azab	10
azadi
azanci
azancintu
azanir
azannir
azanti
azantir
azantum
azanum
azayi
azayintu
azeŋke
azuma
ba	10
baa	12
baam	5
baar	5
babal
babarci
babarcintu
babardir
babarrum
babarti
babartir
babartum
babu
ba-cami
bada
badadi
badaŋai
badu
bafu
bafu-dir
bafu-dirtu
bafure
bafu-tir
bafu-tiri
bafu-tirum
baga
bagu
baha
bahar
bahara
bahil
bahim
bahu
bahure
bala
balaga
balak	10
balaki
balakintu
balakti
balaŋir
balaŋum
balo
banan
bananum
banna
bannadi
bannadire
bannanir
bannantir
bannantum
bannayi
bannayintu
bapum	5
bapur	5
bara	20
baraa
barabara
baradi
baranir
barantir
barantum
baranum
baraŋai
baras
barayi
barayintu
barda
barka	5
barkadi
barkanir
barkantir
barkantum
barkanum
barkayi
barkayintu
barran
bartal
barti
baru
basai
basal
basarci
basarcintu
basardir
basarrum
basarti
basartir
basartum
bassu	
bata	5
batabatala
batahala
batal
batala
batata
battara
bazu	6
bêbelti
bêbera
bêberi
beda
bede
bedei
bêdidi
bêdige
bêdinir
bêdintir
bêdintum
bêdinum
bêdiyi
bêdiyintu
bêeci
bêecintu
bêedu
bêenir
bêentir
bêentum
bêenum
bêeti
bege
bêi	20
bêi	25
bêki	25
bele
belebele
bêli
belke	15
belle
beni
bentene
benu
ber
bere
beredi
berege
berei
berenir
berentir
berentum
berenum
bereyi
bereyintu
bêri
berke	15
bêrki
bêrkidi
bêrkinir
bêrkintir
bêrkintum
bêrkinum
bêrkiyi
bêrkiyintu
berredi
berrege
bes	20
betete
betu
bêyenci
bêyencintu
bêyenir
bêyenti
bêyentir
bêyentum
bêyenum
bezedi
bezenir
bezenum
bezeyi
bezeyintu
bî	5
bîbi
bibidi
bîbidi
bibinir
bibintir
bibintum
bibinum
bîbiri
bibiyi
bibiyintu
bîddi
bide
bîde
bîdi
bidi	5
bîdir
bîdiyo
bifir
bîg
bigi
bîgi
bîgidi
bîgini
bîgiredi
bigize
bîĩ
bîk	4
bîki
bilanu
bilenir
bilenum
bili
bîlibili
bîlibilidi
bîlidi
bilili
bilintir
bilintum
bîlki
billa
billi
billi-wunus
bîni
bini	10
binini
binni
bire
bîre	10
biren
birenci
birencintu
birennir
birennum
birenti
bîri	5
biri	8
bîribiri
bîrimil
biri-nauši
birire
bîriye
birizi
bîrum
bîs
bišir
bîtir
bitire
bîtum
biya
biyadi
biyanir
biyantir
biyantum
biyanum
biyayi
biyayintu
bizi
biziradi
