aã
aadani
abaddo
abadi
abari
abarimi
abariŋa
abba	15
abba-bu
abba-duzuu
acadi
acanir
acanum
acayi
acantir
acantum
acayintu
aci
ada	20
adaa
adinir
adinum
adiyi
adiyintu
adaga	10
adakti
adaŋir
adaŋum
adaki
adakintu
adal
adawadi
addaa
addi	25
addidi
addiĩ
addir
adelti
adellir
adellum
adelci
adeltir
adeltum
adelcintu
adi
adige
adii
adu	5
afanne
afarai
afire
Afirik
Afunaa
afunuŋa
aga	5
agade
agadi
agafur
agahur
agala
agapti
agammur
agammum
agapci
agampur
agampum
agapcintu
agar
agar-kiri
agasu
agili
agir
agirda
agirde
agu	5
agude
aguruu
aguũ
aguza
aguzuu
aharai
ahu
ai	40
aĩ
aide	20
aja
ajab
ajapti
ajammur
ajammum
ajapci
ajampur
ajampum
ajapcintu
aji
ajirti
ajirdir
ajirci
ajircintu
alam
alama
alamti
albuta
algada
aligi	10
alii
alkam
alla
Alla	25
allaa
alzu
am-curulo
am-kûrei
aman
amana
amanne
amanti
amannir
amannum
amanci
amancintu
amara
amba	5
ambare
amcaŋa
amii
amma	30
ampadi
ampanir
ampanum
ampayi
ampayintu
amzulaf
anab
anam
anamti
anammur
anammum
anamci
anampur
anampum
anamcintu
anasa
anassi
anazir
anazum
anaši
anassir
anassum
anašintu
ancapti
ancammur
ancammum
ancapci
ancapcintu
ancasuma
ancau
anidi
aninir
aninum
aniyi
aniyintu
anigi	5
anigire
aniši	3
anjau
Anna
annaga
Annagada
annu
anukti
anuŋir
anuŋum
anuki
anuŋkir
anuŋkum
anukyintu
anuu	10
aŋgal	5
aŋgalle
aŋgir
aŋguli
aŋkal	5
aŋkalle
aŋkalti
aŋkir
aŋkuli
añi	8
añire
ar
ara	25
aradi
aranir
aranum
arayi
arantir
arantum
arayintu
arahau
arai
arakti
araŋir
araŋum
araki
araŋkir
araŋkum
arakintu
Aram
aramal
araŋa	15
araŋadi
ararau
ardadi
ardayi
ardayintu
ardigi
ari
arii	25
ariire
arini
arkab
arkam
arkami
arkin
arñelli
arradi
arranir
arranum
arrayi
arrantir
arrantum
arrayintu
arrai
arru
artas
artasa
aru
aruŋgu
aruŋku
arupti
aruu
asadi
asaga
asaiba
asar	4
asardi
asarti
asardir
asarrum
asarci
asartir
asarcintu
asayiba
aski	4
askire
asube
asudi
asunir
asunum
asuyi
asuntir
asuntum
asun
asuu
ašamti
aši	6
aši-tiri
ašibi
ašide
ašire
ašireta
atakti
ataŋir
ataŋum
ataki
atakintu
aũ	30
audani
aulai
auši
awa	15
awa-tûu
awai
aweya
awi
awide
awii
awile
awulai
awur
awure	6
awurii
awusu
aya	30
aya-addi
aya-bu
aza
azab	10
azadi
azanir
azanum
azayi
azantir
azantum
azayintu
azanti
azannir
azanci
azancintu
azeŋke
azuma
ba	10
ba-cami
baa	12
babal
babarti
babardir
babarrum
babarci
babartir
babartum
babarcintu
babu
bada
badadi
badaŋai
badu
bafu
bafu-tiri
bafu-tir
bafu-tirum
bafu-dir
bafu-dirtu
bafure
baga
bagu
baha
bahar
bahara
bahil
bahim
bahu
bahure
bala
balaga
balak	10
balakti
balaŋir
balaŋum
balaki
balakintu
balo
banan
banna
bannadi
bannanir
bananum
bannayi
bannantir
bannantum
bannayintu
bannadire
bara	20
baraa
barabara
baradi
baranir
baranum
barayi
barantir
barantum
barayintu
baraŋai
baras
barda
barka	5
barkadi
barkanir
barkanum
barkayi
barkantir
barkantum
barkayintu
barran
bartal
barti
baru
basai
basal
basarti
basardir
basarrum
basarci
basartir
basartum
basarcintu
bata	5
batabatala
batahala
batal
batala
batata
battara
bêbelti
bêbera
bêberi
beda
bede
bedei
bêdidi
bêdige
bêdinir
bêdinum
bêdiyi
bêdintir
bêdintum
bêdiyintu
bêeti
bêenir
bêenum
bêeci
bêentir
bêentum
bêecintu
bege
bele
belebele
bêli
belke	15
belle
beni
bentene
benu
ber
bere
beredi
berenir
berenum
bereyi
berentir
berentum
bereyintu
berege
berei
bêri
berke	15
bêrki
bêrkidi
bêrkinir
bêrkinum
bêrkiyi
bêrkintir
bêrkintum
bêrkiyintu
berredi
berrege
bes	20
betete
betu
bêyenti
bêyenir
bêyenum
bêyenci
bêyentir
bêyentum
bêyencintu
bezedi
bezenir
bezenum
bezeyi
bezeyintu
bî	5
bîbi
bibidi
bibinir
bibinum
bibiyi
bibintir
bibintum
bibiyintu
bîbidi
bîbiri
bîddi
bide
bîde
bidi	5
bîdi
bîdiyo
bifir
bîg
bigi
bîgi
bîgidi
bîgini
bîgiredi
bigize
bîĩ
bîk	4
bîki
bilanu
bili
bîlibili
bîlibilidi
bîlidi
bilili
bîlki
billa
billi
billi-wunus
bini	10
bîni
binini
binni
bire
bîre	10
biren
birenti
birennir
birennum
birenci
birencintu
biri	8
bîri	5
biri-nauši
bîribiri
bîrimil
birire
bîriye
birizi
bîs
bišir
bitire
biya
biyadi
biyanir
biyanum
biyayi
biyantir
biyantum
biyayintu
bizi
biziradi
bo	5
bôbiyo
bobokti
bôbolti
bôbori
bôbu
bôbudi
bôbunir
bôbunum
bôbuyi
bôbuyintu
bôbuyo
bodi
bonir
bonum
boyi
bontir
bontum
boyintu
bodu	10
bôfu
bogo
bogolji
bôgollou
