នុន
ញូ
មឹង
ឝញូ
គ្លើយ
ឞ្រ៊ើយ
កវ
ទី
មត
អ៊ិះម៍
ឡៃគ
ង៉ៈ
មនូស
ហ្មវ
ឋាប់
ណាវ
ឝអ៊ិះម៍
ឋគ
ឞ៊ិ
ឆ្រង់
ពើ
ណាគ
យេស៊ូ
ឋង់
អ៊ើយឋៃ
រ៉ាំង
យ្វ៉ា
ឝ្ល៉ៃគ
យ៉ាង
អុះ
ពហ្យាប់ម៍
លយ
ហា
មឹន
ព្លើយ
នែ
យ៉ឹះ
ហ្ងំ
ច្យាំងម៍
ព
តាំ
រ៉ៃ
អា
ទើល
ថវ
ហ្លា
ទុយ
រើយ
ឞ្វៈម៍
សាង
ទគ
ប្ល៉ៃ
ខ្វា
វ៉ត់
រ៉ៈ
បុះ
ប៉ះ
ឞា
ឞ៊ិះ
ឝ៉ះ
ឌីគ
វ៉គ់
ហ្យាមម៍
យេហូវ៉ា
អ្យវ
សុន
សាត
អ្ន៊ុន
ឋ្វា
ឆឹ
មើយហ៍
ឞស
និងហ៍
តា
ឞ្យៈ
អ្យា
ច្រោះ
បន
ដះគើយ
អ៊ើ
បង់
ហ្ម៊ិ
ហ៊ែម៍
បគ
យ៉ិត
ឡាន
ម៉ូសេ
ហ្យាប់ម៍
អ្យឹ
ឞោះ
ក្នះ
ណគ
អ្នាំ
ដ្វិ
ឆ្វាត់
ឞ៊ុត
ម៉ា
អ្យៃ
ឌើច
លើយ
ដះមើយ
ហ្យ៊ឹមម៍
អ៊ីស្រាអ៊ែល
ស៊ែតម៍
ចាល
ក្ងាន់
ងឹ
ណាប់
ឞាត
ប៉ៈ
ល
មុត
ពតាវ
ទីល
ង៉ាន
ពឌើយ
ឋឝ្ងឹ
លើ
លែ
ឝ៉ប់
ជិម
ពអ្នះ
ទិះ
ឋ្វេះ
អាន
យ៉ង់
តុ
អេឈិប
កគ់
កតាង
ប៉ូល
កឌី
ហ្ល៊ុន
ពកន់
យ៉ាកុប
យ៉ូស៊ែប
ម៉ៈ
ហ្យិន
ពត៝
ឡន់
វ៉ៃ
ឡាំងហ៍
ហ្វ៊ិម៍
ហ្លោះ
ព្លុះ
ក្ញា
ផា
ហ្លវ
យូដា
ឆាត
ពអ្យៃ
ឞ្នៃ
អ៊ែបម៍
ទ្រុន
រ៉យ
ឍើយ
ឋឍី
ត្រិ
ច
ក្លាស
លឝ៉ោះ
ឡិ
ឃឹត
ជិះ
ហឍិប
ង៉គ់
ឋៃ
អាឋៃ
ភុន
ឋឍើយ
គ្រិះ
ពតៈ
អ្មាំង
ឆិ
ផារ៉ន
អ្វាន់
ពពគ
ធុន
ឍិះ
ឞ្ងាត់
នុក
ណ្វា
តៃ
ហេឞ្រ៊ើ
ឍិប
តហានម៍
នេនែ
ពេត្រូស
តាម
ក្លវ
ហ្រៈ
អាឞ្រាហាំ
ឝ្ល៉ាន
ឋ្ងាំ
ឞគ់
ឞោះតវ
ឝូគ
ពពន
ស៊ែម
ជិ
ផ្រវ
ម្យ៉ាង
យ៉ូហាន
លែន
ឞនី
យ៉ាប
ឞះ
នុំប៉ាំង
ហ្វៈម៍
ទ្រុះ
សាល់
ក្យវ
កប៉ៈ
ក្នាប
តាប
ឈុះ
អ្ញាគ
ភូង
ពយ៉ាប
យេរូសាឡិម
ប្រ៉ង់
ឡៃគហ៍
ហ្វាម៍
ឞ៊ែន
មិ
អាវ
ខាគ
ឆៃ
ពក្លាស
យហ៍
ឝ្រូ
តះ
ថា
ឌីម
ហិម៍
ឞឆ្រង់
ទ្រីវ
នក
កំប៉ាន់
ម៉ប
ហ្នង់
ឝ្ន៉ាំ
លីង
ឆាង
អះម៍
ស៊ិត
តាម៍
ហ្វៃម៍
កាគ
អ្យៈ
ឝ៉ាល់
ស៊ីគ
ស៊ែង
ឍ្រើយ
